Asset report 16/03/21,,
,,
,,
Post Code,Local Authority,Business area
CF23 9LJ    ,Cardiff,Housing
CF34 9YW    ,Bridgend         ,Housing
CF14 7HF    ,Cardiff,Housing
CF3 4HN     ,Cardiff,Housing
CF33 4NU    ,Bridgend         ,Housing
CF31 4TT    ,Bridgend         ,Housing
CF14 1RS    ,Cardiff,Housing
CF14 1RR    ,Cardiff,Housing
CF3 5RE     ,Cardiff,Housing
CF3 5RA     ,Cardiff,Housing
CF23 7JB    ,Cardiff,Housing
CF34 0BN    ,Bridgend         ,Housing
CF34 9NH    ,Bridgend         ,Housing
CF3 5LJ     ,Cardiff,Housing
CF3 0HH     ,Cardiff,Housing
CF3 1RW     ,Cardiff,Housing
CF14 4AD    ,Cardiff,Housing
CF14 4QH    ,Cardiff,Housing
CF14 4QD    ,Cardiff,Housing
CF14 4NS    ,Cardiff,Housing
CF14 4NT    ,Cardiff,Housing
CF31 4TN    ,Bridgend         ,Housing
CF31 4TH    ,Bridgend         ,Housing
CF23 7DL    ,Cardiff,Housing
CF3 5RL     ,Cardiff,Housing
CF3 0HB     ,Cardiff,Housing
CF72 8RG    ,RCT,Housing
CF3 5RB     ,Cardiff,Housing
CF3 0AP     ,Cardiff,Housing
CF33 6EE    ,Bridgend         ,Housing
CF34 9TR    ,Bridgend         ,Housing
CF33 6AA    ,Bridgend         ,Housing
CF33 4NN    ,Bridgend         ,Housing
CF14 5PW    ,Cardiff,Housing
CF31 4UB    ,Bridgend         ,Housing
CF33 6HY    ,Bridgend         ,Housing
CF14 5AL    ,Cardiff,Housing
CF34 9BX    ,Bridgend         ,Housing
CF72 8QD    ,RCT,Housing
CF14 4PL    ,Cardiff,Housing
CF23 7AN    ,Cardiff,Housing
CF23 7AS    ,Cardiff,Housing
CF23 7AT    ,Cardiff,Housing
CF23 7AU    ,Cardiff,Housing
CF31 1PX    ,Bridgend         ,Housing
CF3 5QN     ,Cardiff,Housing
CF72 9AS    ,RCT,Housing
CF33 4NF    ,Bridgend         ,Housing
CF34 9AH    ,Bridgend         ,Housing
CF14 5HG    ,Cardiff,Housing
CF3 5JZ     ,Cardiff,Housing
CF14 6AT    ,Cardiff,Housing
CF3 5DG     ,Cardiff,Housing
CF3 4ER     ,Cardiff,Housing
CF14 3QB    ,Cardiff,Housing
CF14 5AF    ,Cardiff,Housing
CF14 4AB    ,Cardiff,Housing
CF33 4BE    ,Bridgend         ,Housing
CF31 1LP    ,Bridgend         ,Housing
CF33 6RP    ,Bridgend         ,Housing
CF31 4QL    ,Bridgend         ,Housing
CF14 5JW    ,Cardiff,Housing
CF34 9EL    ,Bridgend         ,Housing
CF31 1YY    ,Bridgend         ,Housing
CF3 5QZ     ,Cardiff,Housing
CF31 1PG    ,Bridgend         ,Housing
CF3 5SG     ,Cardiff,Housing
CF33 6BY    ,Bridgend         ,Housing
CF14 4PG    ,Cardiff,Housing
CF14 4PH    ,Cardiff,Housing
CF23 9PF    ,Cardiff,Housing
CF3 5QX     ,Cardiff,Housing
CF72 9SS    ,RCT,Housing
CF31 3EE    ,Bridgend         ,Housing
CF31 1RP    ,Bridgend         ,Housing
CF31 4PN    ,Bridgend         ,Housing
CF31 1SN    ,Bridgend         ,Housing
CF31 1SW    ,Bridgend         ,Housing
CF3 0AG     ,Cardiff,Housing
CF34 9YY    ,Bridgend         ,Housing
CF14 4PB    ,Cardiff,Housing
CF14 4PD    ,Cardiff,Housing
CF14 5LJ    ,Cardiff,Housing
CF3 1RB     ,Cardiff,Housing
CF3 1RE     ,Cardiff,Housing
CF39 8AQ    ,RCT,Housing
CF3 0BE     ,Cardiff,Housing
CF31 4XD    ,Bridgend         ,Housing
CF31 4QX    ,Bridgend         ,Housing
CF14 3LX    ,Cardiff,Support
CF14 5HA    ,Cardiff,Housing
CF3 4TE     ,Cardiff,Housing
CF34 9UT    ,Bridgend         ,Housing
CF63 2QZ    ,VOG         ,Housing
CF63 1RT    ,VOG         ,Housing
CF62 8JG    ,VOG         ,Housing
CF62 5UH    ,VOG         ,Support
CF62 8EH    ,VOG         ,Housing
CF62 8LF    ,VOG         ,Support
CF62 8HP    ,VOG         ,Support
CF63 4DG    ,VOG         ,Housing
CF63 4LE    ,VOG         ,Housing
CF63 1HL    ,VOG         ,Housing
CF63 2PG    ,VOG         ,Support
CF62 5DH    ,VOG         ,Housing
CF62 5DJ    ,VOG         ,Housing
CF62 5BN    ,VOG         ,Housing
CF62 9BZ    ,VOG         ,Housing
CF63 1EE    ,VOG         ,Support
CF62 7AZ    ,VOG         ,Extra Care - Golau Caredig
CF62 5HA    ,VOG         ,Support
CF62 5BA    ,VOG         ,Housing
CF62 9EU    ,VOG         ,Housing
CF62 9EW    ,VOG         ,Housing
CF62 5DU    ,VOG         ,Housing
CF63 3NR    ,VOG         ,Support
CF63 1HG    ,VOG         ,Housing
CF62 9BW    ,VOG         ,Support
CF63 4PH    ,VOG         ,Housing
CF63 4LZ    ,VOG         ,Housing
CF62 9HB    ,VOG         ,Support
CF63 2LP    ,VOG         ,Housing
CF63 1PH    ,VOG         ,Housing
CF62 5BJ    ,VOG         ,Housing
CF63 4EA    ,VOG         ,Housing
CF63  4EA   ,VOG         ,Housing
CF63 1QD    ,VOG         ,Housing
CF63 2PD    ,VOG         ,Housing
CF62 8FE    ,VOG         ,Housing
CF63 3QB    ,VOG         ,Housing
CF62 5BY    ,VOG         ,Housing
CF46 6SG    ,Merthyr,Housing
CF3 0PB     ,Cardiff,Housing
CF3 0PE     ,Cardiff,Housing
CF61 2LS    ,VOG         ,Development
CF31 2PY    ,Bridgend         ,Support
CF31 4QG    ,Bridgend         ,Housing
CF34 9AW    ,Bridgend         ,Development
CF31 5FH    ,Bridgend         ,Housing
